scenario,P,objective,A_tilde,solve_time_s
car_only,1,11176.282726056575,0.16784578209913828,0.01435995101928711
car_only,2,19860.28870075281,0.2982624698568904,0.011159181594848633
car_only,3,27532.950682565235,0.41349076021833375,0.010442972183227539
car_only,4,31182.863154045634,0.4683052659341517,0.010412931442260742
car_for_all,1,12016.69343367343,0.1804670977871866,0.011632919311523438
car_for_all,2,21353.701107148096,0.32069058656546046,0.010334968566894531
car_for_all,3,29603.315859706585,0.44458357264137116,0.010360956192016602
car_for_all,4,33527.68680705794,0.5035199047878053,0.010299921035766602
transit_only,1,31.137242640484214,0.000467620135558859,0.010561943054199219
transit_only,2,52.40149095633456,0.0007869673171582553,0.01034402847290039
transit_only,3,70.02016723191299,0.0010515651777806858,0.010173320770263672
transit_only,4,83.08301589944945,0.0012477434693278036,0.010146141052246094
